"R0","q","vc","variable","value"
1,0,0,"stability",0
1.1,0,0,"stability",0
1.2,0,0,"stability",0
1.3,0,0,"stability",0
1.4,0,0,"stability",0
1.5,0,0,"stability",0
1.6,0,0,"stability",0
1.7,0,0,"stability",0
1.8,0,0,"stability",0
1.9,0,0,"stability",0
2,0,0,"stability",0
1,0.0512932943875506,0,"stability",0
1.1,0.0512932943875506,0,"stability",0
1.2,0.0512932943875506,0,"stability",0
1.3,0.0512932943875506,0,"stability",0
1.4,0.0512932943875506,0,"stability",0
1.5,0.0512932943875506,0,"stability",0
1.6,0.0512932943875506,0,"stability",0
1.7,0.0512932943875506,0,"stability",0
1.8,0.0512932943875506,0,"stability",0
1.9,0.0512932943875506,0,"stability",0
2,0.0512932943875506,0,"stability",0
1,0.105360515657826,0,"stability",0
1.1,0.105360515657826,0,"stability",0
1.2,0.105360515657826,0,"stability",0
1.3,0.105360515657826,0,"stability",0
1.4,0.105360515657826,0,"stability",0
1.5,0.105360515657826,0,"stability",0
1.6,0.105360515657826,0,"stability",0
1.7,0.105360515657826,0,"stability",0
1.8,0.105360515657826,0,"stability",0
1.9,0.105360515657826,0,"stability",0
2,0.105360515657826,0,"stability",0
1,0.162518929497775,0,"stability",0
1.1,0.162518929497775,0,"stability",0
1.2,0.162518929497775,0,"stability",0
1.3,0.162518929497775,0,"stability",0
1.4,0.162518929497775,0,"stability",0
1.5,0.162518929497775,0,"stability",0
1.6,0.162518929497775,0,"stability",0
1.7,0.162518929497775,0,"stability",0
1.8,0.162518929497775,0,"stability",0
1.9,0.162518929497775,0,"stability",0
2,0.162518929497775,0,"stability",0
1,0.22314355131421,0,"stability",1
1.1,0.22314355131421,0,"stability",0
1.2,0.22314355131421,0,"stability",0
1.3,0.22314355131421,0,"stability",0
1.4,0.22314355131421,0,"stability",0
1.5,0.22314355131421,0,"stability",0
1.6,0.22314355131421,0,"stability",0
1.7,0.22314355131421,0,"stability",0
1.8,0.22314355131421,0,"stability",0
1.9,0.22314355131421,0,"stability",0
2,0.22314355131421,0,"stability",0
1,0.287682072451781,0,"stability",1
1.1,0.287682072451781,0,"stability",0
1.2,0.287682072451781,0,"stability",0
1.3,0.287682072451781,0,"stability",0
1.4,0.287682072451781,0,"stability",0
1.5,0.287682072451781,0,"stability",0
